2025-04-15 20:17:30,KA01MC9499
2025-04-15 20:18:37,TN51D5199
2025-04-15 20:19:06,TN73AZ4406
2025-04-15 20:21:06,TN124680
2025-04-15 20:21:10,TN25AQ6900
2025-04-15 20:21:40,TN25AU6906
2025-04-15 20:21:57,TW53X3252
2025-04-15 20:22:01,TW55X3232
2025-04-15 20:22:34,TN30BH0797
2025-04-15 20:23:01,TN52AB6489
2025-04-15 20:23:27,KA01NC9499
2025-04-15 20:23:40,KA01MC9499
2025-04-15 20:24:00,TN38CJ9599
